Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
1000.0,2007-05-26,Wedding Covered but No Honeymoon,693.0,10%,481xx,NM,4 years,0.0
1000.0,2007-05-26,Consolidating Debt,703.0,10%,010xx,MA,< 1 year,0.0
11000.0,2007-05-27,Want to consolidate my debt,715.0,10%,212xx,MD,1 year,0.0
6000.0,2007-05-27,waksman,698.0,38.64%,017xx,MA,< 1 year,0.0
1500.0,2007-05-27,mdrigo,509.0,9.43%,209xx,MD,< 1 year,0.0
15000.0,2007-05-27,Trinfiniti,645.0,0%,105xx,NY,3 years,0.0
10000.0,2007-05-27,NOTIFYi Inc,693.0,10%,210xx,MD,< 1 year,0.0
3900.0,2007-05-27,For Justin.,700.0,10%,469xx,IN,2 years,0.0
3000.0,2007-05-28,title?,694.0,10%,808xx,CO,4 years,0.0
2500.0,2007-05-28,timgerst,573.0,11.76%,407xx,KY,4 years,0.0
