seller_id,seller_gen_name
0015a82c2db000af6aaaf3ae2ecb0532,Premium Eletroportateis Excelência
001cca7ae9ae17fb1caed9dfb1094831,Essentials Ferramentas Jardim Excelência
001e6ad469a905060d959994f1b41e4f,Select Esporte Lazer
002100f778ceb8431b7a1020ff7ab48f,Essentials Moveis Decoracao Excelência
003554e2dce176b5555353e4f3555ac8,Essentials
004c9cd9d87a3c30c522c48c4fc07416,Essentials Cama Mesa Banho Excelência
00720abe85ba0859807595bbf045a33b,Essentials Utilidades Domesticas
00ab3eff1b5192e5f1a63bcecfee11c8,Essentials Beleza Saude
00d8b143d12632bad99c0ad66ad52825,Essentials Fashion Bolsas E Acessorios
00ee68308b45bc5e2660cd833c3f81cc,Essentials Cama Mesa Banho Excelência
00fc707aaaad2d31347cf883cd2dfe10,Essentials Informatica Acessorios
010543a62bd80aa422851e79a3bc7540,Premium Informatica Acessorios
010da0602d7774602cd1b3f5fb7b709e,Select Moveis Cozinha Area De Servico Jantar E Jardim
011b0eaba87386a2ae96a7d32bb531d1,Essentials Beleza Saude
01266d4c46afa519678d16a8b683d325,Essentials Construcao Ferramentas Ferramentas Construction Tools House Garden
013900e863eace745d3ec7614cab5b1a,Essentials Fashion Calcados Qualidade
014c0679dd340a0e338872e7ec85666a,Premium Moveis Cozinha Area De Servico Jantar E Jardim
014d9a685fd57276679edd00e07089e5,Essentials Papelaria Excelência
0176f73cc1195f367f7b32db1e5b3aa8,Essentials Cama Mesa Banho Excelência
01bcc9d254a0143f0ce9791b960b2a47,Essentials Beleza Saude Qualidade
01c97ebb5cdac52891c0ed1c37ba0012,Essentials Informatica Acessorios Excelência
01cf7e3d21494c41fb86034f2e714fa1,Select Eletrodomesticos 2
01ed254b9ff8407dfb9d99ba1e17d923,Select Relogios Presentes Excelência
01fd077212124329bac32490e8ef80d9,Essentials Beleza Saude Household Utilities Excelência
01fdefa7697d26ad920e9e0346d4bd1b,Essentials Beleza Saude Excelência
0241d4d5d36f10f80c644447315af0bd,Essentials Moveis Decoracao Excelência
0249d282d911d23cb8b869ab49c99f53,Essentials Esporte Lazer Excelência
024b564ae893ce8e9bfa02c10a401ece,Essentials Instrumentos Musicais
028872bfa080090a9d0abd4f1af168f8,Essentials
02a2272692e13558373c66db98f05e2e,Essentials Telefonia
02b72cdeb9cfcc429f1af6f4e3f3b737,Essentials Bebes Qualidade
02c988090b766852e088c69d7fb3b551,Essentials Sinalizacao E Seguranca Excelência
