seller_id,seller_zip_code_prefix,seller_city,seller_state,business_segment,business_type,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,review_comment_title,review_comment_message
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES,NULL,NULL,ferramentas_jardim,33,509,1,9100,42,13,39,135.0000,NULL,NULL
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP,NULL,NULL,moveis_decoracao,54,646,1,250,16,30,20,19.9000,NULL,NULL
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,53,661,1,3900,42,16,36,189.9900,NULL,NULL
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,57,663,1,4100,34,10,38,175.9900,NULL,NULL
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,58,223,1,2700,45,13,35,117.9900,NULL,Os correios fez uma tentativa pois eu não estava em casa era o dia do feriado do dia 12/10 voltou para agência tive que ir buscar na agencia.
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,58,223,1,2700,45,13,35,117.9900,NULL,Ainda não chegou a mercadoria
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,64,702,1,2700,42,16,36,169.9900,NULL,NULL
00720abe85ba0859807595bbf045a33b,07070,guarulhos,SP,NULL,NULL,utilidades_domesticas,58,545,2,250,25,10,36,13.5000,NULL,como vou avaliar a loja se eu nem recebi o produto ? ???????????????????????????????????????????????????
00720abe85ba0859807595bbf045a33b,07070,guarulhos,SP,NULL,NULL,utilidades_domesticas,58,545,2,250,25,10,36,13.5000,NULL,Gostei dos produtos
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,40,322,1,225,17,14,13,82.9000,NULL,"O produto é original, chegou no prazo é muito bem embalado! Recomendo!!! "
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,40,322,1,225,17,14,13,82.9000,NULL,"
."
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,42,315,1,813,32,16,16,394.9000,NULL,NULL
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,44,655,1,321,19,14,13,83.9000,NULL,"Detestei a loja só me entregara m um cartucho liguei pra reclamar ai falaram q mandaram o outro separado e não me mandaram o cód de rastreio só fiquei sabendo pq liguei pra reclamar. "
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,44,655,1,321,19,14,13,85.0000,NULL,"Recebí o produto no prazo. Ainda não utilizei pois estou aguardando acabar a tinta do cartucho que está na impressora "
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,48,252,1,167,16,11,15,86.0000,NULL,Fazer promoções com frete grátis
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,NULL,NULL,informatica_acessorios,48,252,1,167,16,11,15,88.0000,NULL,NULL
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG,NULL,NULL,ferramentas_jardim,28,887,5,30000,75,50,50,589.0000,NULL,"ainda não usei mais tenho certeza que é boa obrigada
"
014d9a685fd57276679edd00e07089e5,87015,maringa,PR,NULL,NULL,papelaria,54,1156,1,245,16,9,14,59.9900,NULL,NULL
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,36,234,1,4925,42,26,32,69.9000,NULL,bom. recomendo
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,51,233,1,6738,48,32,52,125.9000,NULL,NULL
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,NULL,NULL,cama_mesa_banho,54,304,1,9350,45,40,40,115.9000,NULL,NULL
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR,NULL,NULL,bebes,35,805,1,3045,55,60,30,132.6800,NULL,A melhor loja👏👏👏👏😍
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP,household_utilities,reseller,ferramentas_jardim,40,792,6,150,17,7,12,69.0000,NULL,NULL
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP,household_utilities,reseller,construcao_ferramentas_construcao,56,255,2,100,17,7,11,17.0000,NULL,NULL
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR,NULL,NULL,beleza_saude,49,819,3,1250,42,11,12,99.9000,NULL,"Assim que fiz a compra e efetuei o pagamento, logo autorizaram a compra e emitiram a nota fiscal, em poucos dias minha mercadoria já estava sendo entregue. Chegou sem defeito e em perfeito estético."
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR,NULL,NULL,beleza_saude,49,819,3,1250,42,11,12,99.9000,NULL,"O produto chegou com a caixa amaçada... Como se tivessem colocado algo em cima dela. No entanto, sem avarias, mas negligência com o produto."
